"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 04:45:57:960 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","(mean) service-throughput","(std) service-throughput","(mean) miss-rate","(std) miss-rate","(mean) mean-ttfr","(std) mean-ttfr","(mean) mean-latency","(std) mean-latency","(mean) energy-per-task","(std) energy-per-task","(mean) coverage-entropy","(std) coverage-entropy","(mean) field-mean","(std) field-mean","(mean) field-var","(std) field-var"
"10","0.02","0.15","1.2","6","5000","0.0104","N/A","0.3368421052631579","N/A","87.53846153846153","N/A","365.01190476190476","N/A","959.9038461538462","N/A","3.8160922392395804","N/A","0.7857703233680536","N/A","3.915652645571802","N/A"
"10","0.02","0.15","1.2","7","5000","0.0112","N/A","0.35106382978723405","N/A","120.74137931034483","N/A","367.6179775280899","N/A","891.875","N/A","3.7138206116108945","N/A","0.8237265270776559","N/A","4.16577299054696","N/A"
"10","0.02","0.15","1.2","8","5000","0.0148","N/A","0.23636363636363636","N/A","146.37333333333333","N/A","343.8","N/A","674.2567567567568","N/A","3.889618189303498","N/A","0.8337320809762988","N/A","4.160818226304435","N/A"
"10","0.02","0.15","1.2","9","5000","0.011","N/A","0.3867924528301887","N/A","134.74576271186442","N/A","407.7916666666667","N/A","907.7818181818182","N/A","3.765809203901536","N/A","0.9680179921332045","N/A","4.738940567900336","N/A"
"10","0.02","0.15","1.2","10","5000","0.0112","N/A","0.36363636363636365","N/A","138.6551724137931","N/A","395.9673913043478","N/A","891.3571428571429","N/A","3.897583806938015","N/A","0.8874792925753003","N/A","4.307273054271973","N/A"
"10","0.02","0.15","1.6","1","5000","0.0096","N/A","0.40229885057471265","N/A","139.64","N/A","405.8192771084337","N/A","1040.9583333333333","N/A","3.7236896480675266","N/A","0.8142096980976122","N/A","4.116801016342182","N/A"
"10","0.02","0.15","1.6","2","5000","0.0102","N/A","0.3894736842105263","N/A","143.96153846153845","N/A","413.97727272727275","N/A","978.9803921568628","N/A","3.8772377869731027","N/A","0.9094550695055943","N/A","4.458912364500349","N/A"
"10","0.02","0.15","1.6","3","5000","0.0104","N/A","0.42857142857142855","N/A","105.33962264150944","N/A","417.6701030927835","N/A","959.2884615384615","N/A","3.6526095811158057","N/A","1.0399914278820062","N/A","4.868511692214063","N/A"
"10","0.02","0.15","1.6","4","5000","0.0104","N/A","0.4351851851851852","N/A","110.4074074074074","N/A","421.93939393939394","N/A","960.0769230769231","N/A","3.888746078990724","N/A","1.0621069307140354","N/A","5.300475059439854","N/A"
"10","0.02","0.15","1.6","5","5000","0.012","N/A","0.4380165289256198","N/A","130.75","N/A","424.3008849557522","N/A","832.4","N/A","3.9376818652098375","N/A","1.259656598329616","N/A","5.790330874947523","N/A"
"10","0.02","0.15","1.6","6","5000","0.0136","N/A","0.25961538461538464","N/A","112.05797101449275","N/A","332.14736842105265","N/A","734.7794117647059","N/A","3.7834192370159014","N/A","0.7818592060411466","N/A","3.887974004201423","N/A"
"10","0.02","0.15","1.6","7","5000","0.012","N/A","0.36538461538461536","N/A","95.55","N/A","374.3979591836735","N/A","832.0833333333334","N/A","3.7888978998001557","N/A","0.9189012039631093","N/A","4.422268630180398","N/A"
"10","0.02","0.15","1.6","8","5000","0.0106","N/A","0.39","N/A","128.54545454545453","N/A","400.32608695652175","N/A","941.6415094339623","N/A","3.52662210796725","N/A","0.9184151705108369","N/A","4.5666125847624395","N/A"
"10","0.02","0.15","1.6","9","5000","0.0114","N/A","0.4462809917355372","N/A","138","N/A","436.54954954954957","N/A","875.3508771929825","N/A","3.5430144972073845","N/A","1.2903539418290026","N/A","6.132717521291206","N/A"
"10","0.02","0.15","1.6","10","5000","0.0148","N/A","0.2702702702702703","N/A","141.72368421052633","N/A","351.3076923076923","N/A","674.7972972972973","N/A","3.7419892659218355","N/A","0.9042073113673823","N/A","4.554100540519601","N/A"
