"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 03:06:46:321 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","service-throughput","miss-rate","mean-ttfr","mean-latency","energy-per-task","coverage-entropy","field-mean","field-var"
"24","10","0.02","0.1","1.2","4","5000","0.0154","0.1981981981981982","128.126582278481","295.26262626262627","647.5584415584416","4.111382244033222","0.7549923193660999","3.6373778084450032"
"25","10","0.02","0.1","1.2","5","5000","0.014","0.23469387755102042","100.54285714285714","304.68817204301075","712.8285714285714","3.9387169747479707","0.6721806516019395","3.4390937310064196"
"26","10","0.02","0.1","1.2","6","5000","0.0134","0.21875","186","351.21590909090907","745.4626865671642","4.090618725394783","0.7266644563877666","3.506168943980153"
"27","10","0.02","0.1","1.2","7","5000","0.016","0.24778761061946902","135.3658536585366","324.74074074074076","623.675","4.062878982836109","0.8201992995459052","3.9979978859028873"
"28","10","0.02","0.1","1.2","8","5000","0.0166","0.16346153846153846","162.2093023255814","299.21","600.2168674698795","4.150064306275174","0.6973290642107655","3.4985441052278694"
"29","10","0.02","0.1","1.2","9","5000","0.0158","0.23214285714285715","135.09756097560975","314.18095238095236","632.2151898734177","3.980038395347753","0.7579863755318322","3.759367943317975"
"30","10","0.02","0.1","1.2","10","5000","0.0144","0.23529411764705882","113.45833333333333","317.7291666666667","693.75","3.819212038459757","0.7117636433077585","3.5915529597579603"
"31","10","0.02","0.1","1.6","1","5000","0.0112","0.36633663366336633","111.57142857142857","388.13978494623655","892.1964285714286","3.787027036712591","0.9460854961194817","4.638612368949379"
"32","10","0.02","0.1","1.6","2","5000","0.0128","0.2871287128712871","89.96969696969697","322.13978494623655","780.5","3.8664375025978623","0.7268892669699509","3.7475531631449472"
"33","10","0.02","0.1","1.6","3","5000","0.0124","0.2871287128712871","174.265625","383.4835164835165","805.6774193548387","3.932432912445515","0.8781241708445426","4.252950531346329"
"34","10","0.02","0.1","1.6","4","5000","0.012","0.3106796116504854","94.19672131147541","348.2608695652174","832.6166666666667","3.8732588129121215","0.8093562054019158","4.067857182966928"
"35","10","0.02","0.1","1.6","5","5000","0.0134","0.22916666666666666","118.1159420289855","308.82022471910113","745.1641791044776","3.9525366026030877","0.6659678519951173","3.3814643186836855"
"36","10","0.02","0.1","1.6","6","5000","0.0122","0.30392156862745096","133.48387096774192","368.5978260869565","818.5573770491803","3.975425500241542","0.8663272670443001","4.29898666954437"
"37","10","0.02","0.1","1.6","7","5000","0.0172","0.2396694214876033","113.183908045977","312.88695652173914","579.9069767441861","3.9367456709139645","0.8495877515768893","4.16856622495417"
"38","10","0.02","0.1","1.6","8","5000","0.017","0.22123893805309736","120.75862068965517","299.26363636363635","587.2352941176471","4.178253039460618","0.7511104109549518","3.5945500545305933"
"39","10","0.02","0.1","1.6","9","5000","0.0138","0.32456140350877194","122.93150684931507","356.6981132075472","724","3.8481586114832345","0.941838155609762","4.766395429519573"
"40","10","0.02","0.1","1.6","10","5000","0.012","0.36936936936936937","185.109375","420.6732673267327","832.7833333333333","3.8850763749452173","1.0491426891431712","5.143742919000189"
"41","10","0.02","0.15","0.5","1","5000","0.0166","0.09278350515463918","117.855421686747","238.43478260869566","599.7349397590361","4.234658109043164","0.49558209006439186","2.446594937534577"
"42","10","0.02","0.15","0.5","2","5000","0.0172","0.18181818181818182","148.8735632183908","307.0566037735849","577.3488372093024","4.2810079429693015","0.7621350481820709","3.8055192172241745"
"43","10","0.02","0.15","0.5","3","5000","0.0192","0.13445378151260504","109.96907216494846","253.40178571428572","518.0208333333334","4.4594135588454344","0.6635506489928822","3.298227062514847"
"44","10","0.02","0.15","0.5","4","5000","0.0178","0.09900990099009901","126.71910112359551","248.72727272727272","558.6741573033707","4.1740691253963025","0.5642491221080721","2.8615370394129522"
"45","10","0.02","0.15","0.5","5","5000","0.015","0.125","121.73684210526316","248.91860465116278","663.1466666666666","4.2877079256319215","0.46753698130003907","2.3021396005795456"
"46","10","0.02","0.15","0.5","6","5000","0.0158","0.20869565217391303","148.6867469879518","310.31067961165047","627.4430379746835","4.281490964931701","0.7993913130355303","3.8623120946937526"
"47","10","0.02","0.15","0.5","7","5000","0.0142","0.17894736842105263","102.40277777777777","271.4886363636364","702.5352112676056","4.109432783137762","0.5609981289488648","2.8467357686329415"
"48","10","0.02","0.15","0.5","8","5000","0.0194","0.12698412698412698","141.8080808080808","279.08849557522126","513.6288659793814","4.263460314286731","0.7571855433464633","3.836974738116595"
"49","10","0.02","0.15","0.5","9","5000","0.0168","0.1553398058252427","126.75862068965517","263.75","592.4880952380952","4.154911575190535","0.605048143826652","3.03538855948717"
"50","10","0.02","0.15","0.5","10","5000","0.02","0.08620689655172414","111.82","232.6","498.07","4.24269791440321","0.6116300630817091","2.944863368351174"
"51","10","0.02","0.15","0.8","1","5000","0.0156","0.25225225225225223","174.6","358.1320754716981","639.525641025641","3.928987548485971","0.8882453442658438","4.428512782860727"
"52","10","0.02","0.15","0.8","2","5000","0.015","0.24545454545454545","128.3116883116883","319.01960784313724","663.2","4.105698623642477","0.7716545207631176","3.8912810594976626"
"53","10","0.02","0.15","0.8","3","5000","0.0178","0.22131147540983606","155.13978494623655","323.5689655172414","557.7528089887641","4.286687393462715","0.8948419463877352","4.142405046283122"
"54","10","0.02","0.15","0.8","4","5000","0.0152","0.17475728155339806","144","303","655.7894736842105","4.010194563960466","0.6678491012512183","3.4834183249162334"
"55","10","0.02","0.15","0.8","5","5000","0.0138","0.25742574257425743","163.48611111111111","352.9789473684211","723.4057971014493","4.0794972308523105","0.8232068350029081","3.8934343006760916"
"56","10","0.02","0.15","0.8","6","5000","0.0152","0.20192307692307693","147.05194805194805","320.92783505154637","656.671052631579","3.917328844212298","0.7468403809033288","3.5826890654708694"
"57","10","0.02","0.15","0.8","7","5000","0.0124","0.2631578947368421","132.5","335.35632183908046","803.7096774193549","3.9007426733679837","0.7228621911545723","3.6111178092020544"
"58","10","0.02","0.15","0.8","8","5000","0.012","0.2765957446808511","106.18032786885246","328.66279069767444","831.0833333333334","3.9012686478418632","0.7051205522740169","3.604871022030072"
"59","10","0.02","0.15","0.8","9","5000","0.013","0.2087912087912088","152.96969696969697","335.0238095238095","767.2615384615384","3.95137539781328","0.6454001140016773","3.348674868427525"
"60","10","0.02","0.15","0.8","10","5000","0.0146","0.22641509433962265","123.02666666666667","310.02061855670104","683.4383561643835","3.8985944272180264","0.7509885732215648","3.615959618794631"
"61","10","0.02","0.15","1.2","1","5000","0.01","0.3626373626373626","104.32","393.1807228915663","999.2","3.908156321866205","0.8159926789255967","4.02027224445255"
"62","10","0.02","0.15","1.2","2","5000","0.0114","0.38613861386138615","185.8793103448276","435.1770833333333","875.4561403508771","3.800667315487127","1.042941199633478","4.945939906167131"
"63","10","0.02","0.15","1.2","3","5000","0.0132","0.28703703703703703","118.04411764705883","338.9896907216495","755.939393939394","3.5933041878792524","0.8141469076449963","4.073518267367887"
"64","10","0.02","0.15","1.2","4","5000","0.0118","0.36633663366336633","135.74193548387098","379.4166666666667","845.2542372881356","3.841302113904272","0.8883824639456054","4.315394329291321"
"65","10","0.02","0.15","1.2","5","5000","0.0142","0.2777777777777778","117.75342465753425","345.2772277227723","703.8591549295775","3.883405150212507","0.8421375349522283","4.250943558821498"
"66","10","0.02","0.15","1.2","6","5000","0.0104","0.3368421052631579","87.53846153846153","365.01190476190476","959.9038461538462","3.8160922392395804","0.7857703233680536","3.915652645571802"
"67","10","0.02","0.15","1.2","7","5000","0.0112","0.35106382978723405","120.74137931034483","367.6179775280899","891.875","3.7138206116108945","0.8237265270776559","4.16577299054696"
"68","10","0.02","0.15","1.2","8","5000","0.0148","0.23636363636363636","146.37333333333333","343.8","674.2567567567568","3.889618189303498","0.8337320809762988","4.160818226304435"
"69","10","0.02","0.15","1.2","9","5000","0.011","0.3867924528301887","134.74576271186442","407.7916666666667","907.7818181818182","3.765809203901536","0.9680179921332045","4.738940567900336"
"70","10","0.02","0.15","1.2","10","5000","0.0112","0.36363636363636365","138.6551724137931","395.9673913043478","891.3571428571429","3.897583806938015","0.8874792925753003","4.307273054271973"
"71","10","0.02","0.15","1.6","1","5000","0.0096","0.40229885057471265","139.64","405.8192771084337","1040.9583333333333","3.7236896480675266","0.8142096980976122","4.116801016342182"
"72","10","0.02","0.15","1.6","2","5000","0.0102","0.3894736842105263","143.96153846153845","413.97727272727275","978.9803921568628","3.8772377869731027","0.9094550695055943","4.458912364500349"
"73","10","0.02","0.15","1.6","3","5000","0.0104","0.42857142857142855","105.33962264150944","417.6701030927835","959.2884615384615","3.6526095811158057","1.0399914278820062","4.868511692214063"
"74","10","0.02","0.15","1.6","4","5000","0.0104","0.4351851851851852","110.4074074074074","421.93939393939394","960.0769230769231","3.888746078990724","1.0621069307140354","5.300475059439854"
"75","10","0.02","0.15","1.6","5","5000","0.012","0.4380165289256198","130.75","424.3008849557522","832.4","3.9376818652098375","1.259656598329616","5.790330874947523"
"76","10","0.02","0.15","1.6","6","5000","0.0136","0.25961538461538464","112.05797101449275","332.14736842105265","734.7794117647059","3.7834192370159014","0.7818592060411466","3.887974004201423"
"77","10","0.02","0.15","1.6","7","5000","0.012","0.36538461538461536","95.55","374.3979591836735","832.0833333333334","3.7888978998001557","0.9189012039631093","4.422268630180398"
"78","10","0.02","0.15","1.6","8","5000","0.0106","0.39","128.54545454545453","400.32608695652175","941.6415094339623","3.52662210796725","0.9184151705108369","4.5666125847624395"
"79","10","0.02","0.15","1.6","9","5000","0.0114","0.4462809917355372","138","436.54954954954957","875.3508771929825","3.5430144972073845","1.2903539418290026","6.132717521291206"
"80","10","0.02","0.15","1.6","10","5000","0.0148","0.2702702702702703","141.72368421052633","351.3076923076923","674.7972972972973","3.7419892659218355","0.9042073113673823","4.554100540519601"
"81","10","0.02","0.22","0.5","1","5000","0.0146","0.20408163265306123","104.48648648648648","283.31182795698925","679.7808219178082","3.9517667760358433","0.6024801863461772","2.8533521653006844"
"82","10","0.02","0.22","0.5","2","5000","0.0144","0.2956521739130435","179.9102564102564","370.6698113207547","687.0277777777778","4.225543444416082","0.9677041908005704","4.821317618304414"
"83","10","0.02","0.22","0.5","3","5000","0.0148","0.20212765957446807","132.01333333333332","302.13978494623655","671.6756756756756","4.152087088558574","0.6318652166590973","3.283953668736398"
"84","10","0.02","0.22","0.5","4","5000","0.0134","0.3181818181818182","133.50704225352112","357.70588235294116","739.4328358208955","4.041536442544029","0.9045003575698216","4.3489424392743965"
"85","10","0.02","0.22","0.5","5","5000","0.0176","0.13513513513513514","164","303.29126213592235","566.0113636363636","4.2157016497869515","0.7365464038637424","3.6288761541265058"
"86","10","0.02","0.22","0.5","6","5000","0.0156","0.24778761061946902","125.8395061728395","329.0377358490566","640.3333333333334","4.094334989640796","0.8198049658298825","3.928640424587162"
"87","10","0.02","0.22","0.5","7","5000","0.0152","0.25925925925925924","117.53246753246754","330.75961538461536","653.9605263157895","4.212820649814521","0.8292273247044424","4.106830311728417"
"88","10","0.02","0.22","0.5","8","5000","0.0118","0.2558139534883721","129.32203389830508","342.30864197530866","842.271186440678","3.88952838030941","0.6580921440797369","3.2070559286990377"
"89","10","0.02","0.22","0.5","9","5000","0.0142","0.21782178217821782","125.86301369863014","312.2258064516129","701.0140845070423","4.051087445717951","0.6897536244373234","3.545403044982818"
"90","10","0.02","0.22","0.5","10","5000","0.0162","0.1588785046728972","117.29268292682927","278.90816326530614","614","4.211068423044434","0.6536244585841224","3.222828158505374"
"91","10","0.02","0.22","0.8","1","5000","0.0146","0.2545454545454545","135.48648648648648","347.66336633663366","683.068493150685","3.9349803387190248","0.9032841189842397","4.409729035137744"
"92","10","0.02","0.22","0.8","2","5000","0.0118","0.3465346534653465","184.609375","404.9148936170213","845.4067796610169","3.883457999023253","0.9445057031490472","4.802175210347426"
"93","10","0.02","0.22","0.8","3","5000","0.0122","0.23404255319148937","115.1311475409836","339.8433734939759","819.0819672131148","3.864269938853707","0.7425903315364145","3.4970195787076097"
"94","10","0.02","0.22","0.8","4","5000","0.0144","0.27927927927927926","147.37333333333333","356.4757281553398","693.1111111111111","3.9836491274116157","0.918590490411626","4.5551337207972"
"95","10","0.02","0.22","0.8","5","5000","0.0136","0.34210526315789475","141.75714285714287","392.5140186915888","734.2205882352941","4.09795279786581","1.0402833038258503","5.140579991001307"
"96","10","0.02","0.22","0.8","6","5000","0.0134","0.3","156.73239436619718","364.16494845360825","744.820895522388","4.006235555668301","0.8522833867035844","4.170272858306263"
"97","10","0.02","0.22","0.8","7","5000","0.0122","0.21176470588235294","104.27868852459017","296.8354430379747","816.5245901639345","3.948864064837468","0.5450216377586307","2.9177987717140446"
"98","10","0.02","0.22","0.8","8","5000","0.0138","0.3119266055045872","134.875","363.94174757281553","722.695652173913","3.9945974943384464","0.9255343905807982","4.71287773191344"
"99","10","0.02","0.22","0.8","9","5000","0.0098","0.38202247191011235","104.13725490196079","385.06024096385545","1018.8979591836735","3.6107359455684422","0.7781181207775774","4.0703095195620245"
"100","10","0.02","0.22","0.8","10","5000","0.0144","0.20754716981132076","99.35616438356165","298.8085106382979","693.7222222222222","4.0446836992828","0.69045104982911","3.2661579498145454"
"101","10","0.02","0.22","1.2","1","5000","0.0084","0.5096153846153846","151.7608695652174","471.9578947368421","1187.095238095238","3.644551651950771","1.1411780710966126","5.57863657227135"
"102","10","0.02","0.22","1.2","2","5000","0.0106","0.37777777777777777","119.85454545454546","387.4942528735632","940.4150943396227","3.6421466001875777","0.8295467681523471","4.078047061030149"
"103","10","0.02","0.22","1.2","3","5000","0.0096","0.4329896907216495","143.1346153846154","429.35555555555555","1040.4583333333333","3.6717574211982846","0.9598990360931395","4.652159534593336"
"104","10","0.02","0.22","1.2","4","5000","0.0086","0.38461538461538464","131.5","401.1232876712329","1160.046511627907","3.7635542431807116","0.7104193743088112","3.5859617522333114"
"105","10","0.02","0.22","1.2","5","5000","0.0114","0.4074074074074074","88.25862068965517","404.9504950495049","876.4736842105264","3.918720191702743","1.0272509556307334","5.178817973303426"
"106","10","0.02","0.22","1.2","6","5000","0.0134","0.308411214953271","128.81159420289856","358.53","744.8656716417911","3.792375892597187","0.9073437735854845","4.474187535860085"
